waktu,tweets,label
2018-11-03 23:40:24,@AgisniNina @rmiryanti Tetap #01JokowiLagi #01IndonesiaMaju #SalamSatuJempol dan jgn lupa #SaveMukaBoyolali #PrayForJT610,negatif
2018-11-03 18:02:36,"Ya, usia nggak ada yang tahu. Setidaknya kita berusaha melakukan yang terbaik. ",positif
2018-11-03 17:58:33,Saya menjual Jaket Hoodie Asian Games 2018. malam Minggu #KamiBersamaPrabowo #PrayForJT610 ,negatif
2018-11-03 17:50:31,"Bayangin saja dalam waktu 90 detik kamu harus mencari perlengkapan, memakai masker tekanan udara, memakai pelampung",positif
2018-11-03 17:42:47,"Duka mendalam atas meninggalnya Syahrul Anto, salah satu Relawan dr Indonesia Diver yg ikut dalam operasi SAR ",positif
2018-11-03 17:37:09,Sarung Tangan Motor Scoyco MC-44 Half Import Malam Minggu #KamiBersamaPrabowo #PrayForJT610 Bandung Lembang Bogor,negatif
2018-11-03 17:26:41,Segenap jajaran pengurus keluarga besar GP ANSOR dan BANSER\nTurut berduka cita atas meninggalnya saudara,positif
2018-11-03 17:24:03,Visor Windshield Honda Vario 125 Pgm Fi Malam Minggu #KamiBersamaPrabowo Banten #PrayForJT610 Jaksel Kuningan Tebet,negatif
2018-11-03 17:08:16,Tshirt Tamiya - Kaos Tamiya Logo #PrayForJT610 #KamiBersamaPrabowo Malam Minggu #carfreedayjakarta Jaksel Kuningan,negatif
2018-11-03 17:05:09,"Relawan penyelam Basarnas, Syachrul Anto (48) gugur terserang dekompresi saat membantu pencarian Lion Air",positif
2018-11-03 16:59:15,"Selamat jalan saudaraku...\nDoa kami menyertaimu.\nApa yg engkau lakukan,adalah jihad yg senyatanya.",positif
2018-11-03 16:54:22,Melihat lebih dekat kondisi lingkungan mereka bekerja. Dingin dan sunyi adalah kawan para tim identifikasi jenazah,positif
2018-11-03 16:50:23,"Masyarakat Indonesia bahkan dunia masih berduka atas musibah dari jatuhnya pesawat Lion Air JT-610, bahkan masih ba",positif
2018-11-03 16:48:15,"7 Jenazah Korban Lion Air JT 610 Telah Teridentifikasi, Ini Identitasnya via ",positif
2018-11-03 16:47:43,Turut berduka atas kepergian Syachrul Anto dlm melakukan pencarian #JT610 #PrayForJT610 smga tlah berbahagia disurga..',positif
2018-11-03 16:23:00,Serpihan Pesawat Dan Potongan Tubuh Banyak Ditemukan Di Sekitar Penemuan Roda #prayforjt610 #KlikRMOL,positif
2018-11-03 15:48:44,Presiden Joko Widodo langsung menerima laporan dari Menteri Perhubungan Budi Karya Sumadi dan Kepala Badan Nasional,positif
2018-11-03 15:40:48,Ongkos Pencarian Korban Lion Air Harus Jadi Tanggungan Asuransi #prayforjt610 #KlikRMOL,netral
2018-11-03 15:07:05,"Kepergian Syachrul tentu menimbulkan duka mendalam bagi sesama tim penyelamat, dalam hal ini Badan SAR Nasional dan",positif
2018-11-03 14:30:17,"Penyelam dari Indonesian Diving Rescue Team (IDRT) di bawah koordinasi Basarnas, Syachrul Anto (48), meninggal pada",netral
2018-11-03 14:28:55,"Namun, kabar duka kembali datang. Kali ini justru dari tengah salah satu anggota tim yang tengah melakukan penyelamatan.\n#PrayForJT610'",positif
2018-11-03 14:28:39,Duka jatuhnya pesawat Lion Air JT 610 belum usai. Keberadaan ratusan penumpang dan kru pesawat masih banyak,netral
2018-11-03 14:28:17,"Duka untuk Syachrul Anto, Penyelam yang Tewas dalam Pencarian JT 610.\n#PrayForJT610",positif
2018-11-03 14:28:17,Keluarga Terima Tiga Jenazah Yang Telah Berhasil Diidentifikasi #prayforjt610 #KlikRMOL,netral
2018-11-03 14:28:16,Syarat untuk mati tidak semesti sakit.\n#prayforJT610\n#Alfatihah',negatif
2018-11-03 14:28:15,Tim Gabungan TNI-Polri Menyisir Perairan Indramayu Cari Korban dan Serpihan Lion Air JT-610 #prayforjt610',netral
2018-11-03 14:28:15,"Puisi terakhir untuk sang isteri Lyan Kurniawati\n""Jalan pulang menjumpai takdir yg tertulis di Lauhul Mahfudz"" ",netral
2018-11-03 14:26:09,Puisi ini dikirim Alm. Syahrul (Anto) kepada istrinya saat berada di Karawang bersama tim bersiap untuk penyelaman.,netral
2018-11-03 14:12:55,Kebanggan demi kemanusiaan ... #SyachrulAnto #PrayForLionAir #PrayForJT610,positif
2018-11-03 13:50:04,"Lagi, Identitas 3 Jenazah Korban Lion Air Teridentifikasi ",netral
2018-11-03 13:48:52,"Semua orang tahu Allah maha melihat sepanjang masa di Mana-mana sahaja, tapi tidak semua orang merasai Allah sentia",netral
2018-11-03 13:34:15,"Abis baca berita, tim penyelam #LionAirJT610 dikabarkan ada meninggal. Mari kita doakan semoga bapak tersebut diam",positif
2018-11-03 12:43:06,Fyi. Gigi itu salah satu anggota tubuh yang gak akan hancur dengan suhu beribu2 celcius. Makanya kenapa diperluin ,netral
2018-11-03 12:40:05,"It\xe2\x80\x99s such an honor to be in this place. Udah belajar DVI forensic, dan bener2 kagum. Bahkan korban dengan keadaan",netral
2018-11-03 12:35:19,Lokasi Penemuan Roda Pesawat Dan Black Box Lion Air Berdekatan #prayforjt610 #KlikRMOL,netral
2018-11-03 12:34:31,DVI Sudah Lengkap Terima DNA Keluarga Korban Lion Air #prayforjt610 #KlikRMOL,netral
2018-11-03 12:00:59,"Dunia tidak akan pernah kekurangan stok manusia bersosok Pahlawan,, keep Calm,, #2019 #PrayForJT610",positif
2018-11-03 11:35:58,DVI Terima 73 Kantong Jenazah #prayforjt610 #KlikRMOL,netral
2018-11-03 11:35:57,Sosok Syahrul Anto Bagai Pahlawan Menurut Rekan Kerja #prayforjt610 #KlikRMOL,positif
2018-11-03 11:25:42,"""Tim penyelam yg terdiri dr Basarnas Special Group 17 orang, SAR Semarang 5, POSSI Semarang 6, Indo Driver 5, Kopas",netral
2018-11-03 11:24:34,Bodi Lion Air JT 610 Tercecer di Dasar Laut,netral
2018-11-03 11:19:04,Seorang Penyelam Meninggal Dalam Proses Pencarian Korban Dan Pesawat Lion Air #prayforjt610 #KlikRMOL,netral
2018-11-03 11:17:28,Terima kasih telah menjadi pengikut saya yang ke-100! Ini semua berkat Anda.\n#msapunyaoke\n#PrayForJT610,negatif
2018-11-03 11:16:22,"Smart viewers, apa dampak #LionAir #LionJT610 #LionAirJT610 #LionAirJT610Jatuh terhadap @DKIJakarta",negatif
2018-11-03 11:16:19,"kami sesama penyelam, juga turut menyampaikan bela sungkawa, semoga amal ibadah beliau diterima di sisi Allah SWT,",positif
2018-11-03 11:15:21,3 Jenazah Korban Lion Air JT-610 Teridentifikasi https://t.co/ERv9iNQD4J\n\n#prayforjt610,positif
2018-11-03 11:13:34,"Semoga khusnul khotimah..\nLahul Fatihah,\n#PrayForJT610",positif
2018-11-03 11:08:43,Mari berhenti sejenak untuk mendoakan para korban Lion Air. #HijrahBersamaJokowi,positif
2018-11-03 11:05:51,"Subhanallah.. Ternyata HARVINO, co-pliot #LionAir #JT610 seorang yg baik & memiliki bbrp anak yatim piatu yg di asuh",posiitf
2018-11-03 11:05:47,3 Jenazah Korban Lion Air JT-610 Teridentifikasi #prayforjt610,netral
2018-11-03 10:55:05,Semoga semua kebaikannya diterima di Surga...terima kasih pak Syachrul Anto...Rest In Peace @SAR_NASIONAL,positif
2018-11-03 10:49:20,"Telah gugur pahlawan kemanusiaan Syachrul Anto..! Innalilahi wainalilahi roji'un...semoga khusnul khotimah, Aamiin",positif
2018-11-03 10:31:32,Makin hari makin sedih liat keadaan kaya gini. Berita sore ini nyesek banget sih. Yuk terus #PrayForJT610',negatif
2018-11-03 10:26:08,"Penyelam Meninggal saat Pencarian Lion Air, Ini Kata Kepala Basarnas",netral
2018-11-03 10:19:37,"Gugur saat Evakuasi #LionAir, Penyelam Syachrul Anto juga jadi relawan saat Air Asia jatuh pada 2014",netral
2018-11-03 10:07:23,"Turut berduka atas meninggalnya penyelam relawan Lion Air JT-610 yang telah gugur dalam misi kemanusiaan,semoga ama",positif
2018-11-03 9:58:00,"b""Kabasarnas berbelasungkawa atas gugurnya Pahlawan Kemanusiaan.\nInnalilahi wainalilahi roji'un...semoga khusnul khotimah",positif
2018-11-03 9:45:53,Penyelam Basarnas Asal Surabaya Meninggal Dalam Misi Evakuasi Korban Lion Air JT610 \n#BreakingNews\n#PrayForLionAir,netral
2018-11-03 9:33:22,Yakin bersih dari kampanye terselubung? #LionAir #JT610 #PrayForJT610 #MakarBerkedokTauhid #HTI #Khilafah,negatif
2018-11-03 9:32:41,Isak Tangis Iringi Pemakaman Penyelam Basarnas Syachrul Anto,netral
2018-11-03 9:30:30,Ini Dugaan Penyebab Meninggalnya Penyelam saat Pencarian Korban Lion Air,netral
2018-11-03 9:26:54,"Yuk kita mengintip Rumah Denny Cagur, ada banyak Fasilitasnya!\n\n#BukanHashtagBiasa #Siang2PastiSeru #SaturdayPlants #PrayforJT610 #HMDay'",negatif
2018-11-03 9:23:29,Turt berduka cita atas musibah Jatuhnya Pesawat lion Air JT 610 \nSemoga keluarga diberi kekuatan & ketabahan,positif
2018-11-03 9:16:52,"Kabid Humas Polda Metro Jaya, di dampingi Kapolres Kepulauan Seribu beserta jajaran pejabat Bid Humas Polda Metro Jaya",netral
2018-11-03 8:52:44,"I choose #HUMANITY, adalah kalimat dari pak Anto yang meninggal saat membantu pencarian #JT610 .Selamat Jalan pak",netral
2018-11-03 8:50:46,"b""Dan benar bawah ' critical eleven ' itu penentu hidup dan matiku di airplane. JADI INGET KALAU LAGI MAU TAKE OFF GA",negatif
2018-11-03 8:35:07,"#RIP Syachrul Anto, penyelam relawan #Basarnas yg membantu pencarian Lion Air JT610 PK-LQP #PrayForJT610 #JT610'",positif
2018-11-03 8:28:20,"#RIP #Penyelam Syahrul Anto. Kepada keluarga yang ditinggal semoga tabah menghadapi cobaan ini, Amien.",posiitf
2018-11-03 8:04:27,Turut Berduka Cita \xf0\x9f\x98\xa5\xf0\x9f\x98\xa5 terima kasih atas jasa beliau yang turut membantu evakuasi #JT610 #PrayForJT610,positif
2018-11-03 7:43:03,Bagaimana dampak tragedi penerbangan terhadap wisata? Semoga segera recovey..tetap positif #PrayForLionAir,negatif
2018-11-03 7:37:45,Empat Penumpang Pesawat Lion Air Berhasil Diidentifikasi #prayforjt610 #KlikRMOL,netral
2018-11-03 7:36:05,Korban kecelakaan maskapai Lion Air #JT610 asal PALI tiba di Palembang,netral
2018-11-03 7:23:13,@jokowi Setidaknya aku cukup ngerti sama yg nyinyir #netizen\n#01IndonesiaMaju\n#PrayForJT610 #PrayForLionAir @lionairgroup,negatif
2018-11-03 7:21:17,Halo MKClovers\xf0\x9f\x96\x90\nKami keluarga besar MKC mengucapkan Turut Berdukacita Atas jatuhnya Lion Air JT-610. Semoga diterima,negatif
2018-11-03 7:15:53,Satu Penyelam Meninggal saat Pencarian Lion Air JT 610 ,netral
2018-11-03 7:07:30,Lari Sabtu pagi berkabung | #prayforjt610 \n\nTurut berduka cita sedalam-dalamnya atas musibah yang menimpa pesawat Lion Air,positif
2018-11-03 6:36:22,Ya Allah #PrayForJT610,netral
2018-11-03 6:29:17,Good Job Pahlawan bangsa semoga Khusnul khatimah dalam pencarian korban jatuhnya pesawat Lion air #JT610,positif
2018-11-03 6:28:39,Hey.. Ada kapal terbang (Teriakan rutin bahagia bocah2).Kemarin.. mereka sedih. Burung besi itu pergi tak kembali,negatif
2018-11-03 6:26:43,"Jumat kemarin pasti sangat berbeda bagi para PJKA, mungkin banyak yang memendam perasaan was2 di hati.",netral
2018-11-03 6:25:19,"Indonesia itu negara yg dikenal salah satu korupsi , tiap tahun pasti ada yg kena , dan mengenai kasus JT 610",negatif
2018-11-03 6:06:56,Mesin yg sangat jauh berbeda antara LEAP-1B (Boeing 737Max8 #JT610 PK-LQP ) dan mesin CFM56-7B,netral
2018-11-03 5:58:15,"""Saya hanya titip agar menggunakan seluruh kemampuan dan teknologi yang ada dan bekerja cepat untuk mencari yang be",netral
2018-11-03 5:54:03,Alhamdulillah..Tim DVI Polri Berhasil Identifikasi 3 Jenazah Lion Air JT 610\n\n#prayforjt610,netral
2018-11-03 5:35:48,#LionAir #JT610 #BreakingNews #PrayForJT610 #LionJT610 *LionAirJT610 * LionAirPKLQP,netral
2018-11-03 5:25:28,JANJINYA JOKOWI UNTUK PERTUMBUHAN EKONOMI DIATAS 7%.tapi gagal di penuhi.#PrayForJT610 #BreakingNews,negatif
2018-11-03 5:18:32,"Baper gara"" JT 610 \xf0\x9f\x98\xad #PrayForLionAir #PrayForJT610",netral
2018-11-03 5:09:31,"Setiap nonton Youtube ttg Lion air JT 610 , sedih terus ga kuat liatnya Ya Allah #PrayForJT610",netral
2018-11-03 5:05:45,Saat2 dimana terbang di suasana berita pesawat jatuh dari Lion Air dan saya pun menaiki maskapai yang sama .. cemas,negatif
2018-11-03 4:52:12,"Tim SAR nolong korban ga neko-neko tuh, langsung aja ditolong tanpa nanya dulu ""Agama korban apa? korban keturunan",negatif
2018-11-03 4:40:17,"Foto diambil salah satu penumpang lion air jt 610 di insta story nya, dan ternyata dia menjadi salah satu korbannya",netral
2018-11-03 4:29:18,Mungkin hatinya yg kotor.\n#PrayForJT610,negatif
2018-11-03 4:14:49,Aksi bela tauhid jilid 1 dan jilid 2 dan mungkin berjilid jilid akan selalu dimanfaatkan oleh prabowo,negatif
2018-11-03 4:12:46,#PrayForJT610 \nSemoga keluarga yg di tinggal tabah menghadapi cobaan ini...Turut berduka cita yg dalam...,positif
2018-11-03 4:12:30,Turut berduka untuk 189 korban jatuhnya pesawat Lion Air JT-610 #PrayForJT610,positif
2018-11-03 4:09:07,Dua-dua sama2 sakit... #BerhentiDiKamu #PrayForJT610 #PrayForLionAir,negatif
2018-11-03 4:05:56,Segenap keluarga besar AKR Corporindo menyampaikan turut berduka cita yang sedalamnya atas jatuhnya pesawat Lion Air,positif
2018-11-03 4:05:28,Kita kembali berduka.. #PrayForJT610,positif
2018-11-03 4:00:09,"Naahh, tuh kan kampret mendadak hilang kalo masalah begini #2019TetapJokowi #01JokowiLagi #SaveMukaBoyolali",negatif
2018-11-03 3:48:10,Muka cantik kaya mba nya ini masa ditolak sih ?? #asaljeplak aja\n#2019TetapJokowi #01JokowiLagi #SaveMukaBoyolali,negatif
2018-11-03 3:46:04,"Tetaplah menjadi Singa terbang yang kuat, walau ujian nya tiada henti #PrayForJT610 #LionTeknik",negatif
2018-11-03 3:43:42,Akan ada banyak cerita yang menyentuh dan membuat hancur. Please jangan memanfaatkan keadaan duka ini jadi bahan ledekan,positif
2018-11-03 3:43:14,"Selamat jalan sahabat, beristirahatlah dalam damai.\n#PrayForJT610",positif
2018-11-03 3:35:38,Komitmen Jokowi Evakuasi Korban Jatuhnya Pesawat JT610 #RekanJokowi #AyoTerusKerja #IndonesiaKuat #RekanJokowiDKI,netral
2018-11-03 3:20:12,3 Jenazah Korban Lion Air yang Teridentifikasi Asal Sumsel dan Jakarta,netral
2018-11-03 3:13:01,"Tiga Jenazah Korban Lion Air Kembali Teridentifikasi, Ini Identitasnya",netral
2018-11-03 3:08:01,#Respect puluhan pengendara motor yg menuntun sepeda motornya didepan rumah korban jatuhnya pesawat lion air #JT610,netral
2018-11-03 2:59:13,Kami mendoakan Basarnas dan tim evakuasi lancar menjalankan tugas dengan baik. #PrayForJT610',positif
2018-11-03 2:58:29,Percuma akun sosmed centang biru kalau hati dan otak masih dungu. #PrayForHumanity #PrayForJT610 #SemogaMbaknyaMakinCerdas',negatif
2018-11-03 2:54:42,Ready to fly\nShoot for @baliwidura idan_separow \nExploring pantai tanjung pakis karawang.. Pray for JT-610,negatif
2018-11-03 2:53:21,Presiden Joko Widodo memerintahkan pencarian dan pertolongan korban jatuhnya pesawat Lion Air JT 610 rute Jakarta-Pangkal pinang,netral
2018-11-03 1:23:40,Kisah Satu Keluarga Korban Lion Air #okamiid #news #berita #lionair #lionairjt610 #jt610 #PrayForJT610,netral
2018-11-03 1:01:08,Presiden Joko Widodo telah menginstruksikan Kepala Badan Nasional Pencarian dan Pertolongan beserta TNI dan Polri,netral
2018-11-03 0:45:00,Presiden @jokowi tinjau Posko Evakuasi terpadu korban pesawat #LionAirJT610 di JICT.#PrayForJT610 #KotakHitam,netral
2018-11-03 0:17:36,Kunjungan Presiden Republik Indonesia ke posko terpadu evakuasi korban pesawat Lion Air JT-610 di Terminal JICT 2,netral
2018-11-02 23:43:03,Rasa duka yang mendalam utk semua keluarga yg ditinggalkan #JT610 #PrayForJT610',netral
2018-11-02 23:41:51,Pencarian Lion Air Difokuskan Pada Koban Dan Badan Pesawat #prayforjt610 #KlikRMOL,netral
2018-11-02 23:33:57,"Pray for JT-610\nSemoga korban yang meninggal diterima di sisi-Nya, dan keluarga yang ditinggalkan diberi ketabahan.",positif
2018-11-02 20:55:58,"b""Malam ini ada do'a bersama (lagi) seluruh karyawan #LionAir di LOC alias Lion Operation Center yg di jl. marsekal ",positif
2018-11-02 18:48:31,Update rencana operasi SAR hari ke 5 Jumat 2 November 2018.Sumber @SAR_NASIONAL #PrayForJT610 #LionAir,netral
2018-11-02 18:46:07,"Loh, ada Lucinta Luna di acara siang td? Bolehlah? #BukanHastagBiasa #Siang2PastiSeru #PrayforJT610",negatif
2018-11-02 18:18:18,Saya sebagai mahasiswa aviasi kecewa dan merasa sedih melihat banyaknya asumsi yang menyalahkan pihak tertentu soal,netral
2018-11-02 18:10:11,#Ringkaskata\n#BreakingNews\n#PrayForJT610\nTim SAR dan penyelam TNI AL juga menemukan bangkai pesawat serta jasad ,netral
2018-11-02 15:45:06,"Tragedi Lion Air JT610 , Legislator ini Meminta Pemerintah Lakukan Evaluasi Aturan Penerbangan",positif
2018-11-02 15:35:13,"@Partai_Golkar4 yang bukan anggota keluargnya pun sedih, semoga klurga yang ditinggalkan diberikan kesabaran",positif
2018-11-02 14:31:37,Jangan Lupa ada Elizabeth the 3rd dari #MysticMessenger besok! #BukanHashtagBiasa #Siang2PastiSeru #PrayforJT610,negatif
2018-11-02 14:29:25,Video Penampakan Mesin Lion Air yang Jatuh di Perairan Karawang #okamiid #breakingnews #lionair #pesawatlionair,netral
2018-11-02 14:27:40,Black box JT610 telah ditemukan. Ratusan personel gabungan telah dikerahkan Yayasan Plan International Indonesia,positif
2018-11-02 14:10:19,Mesin dan Ekor Lion Air JT 610 Ditemukan,netral
2018-11-02 14:09:38,proud of para penyelam #PrayForJT610,netral
2018-11-02 14:08:45,"#BreakingNews Simpati dan doa dilakukan oleh anak-anak Gaza, Palestina untuk korban jatuhnya pesawat Lion Air",positif
2018-11-02 14:01:56,"@muratara_id Bismillah besok menjalani tes CPNS , semoga mendapat hasil yang terbaik ....Amin #SobatBKN",negatif
2018-11-02 13:34:09,#PrayForJT610 #PrayForLionAir #PrayForLionAirJT610 #JT610 #JT610lionair @kopaska_ KOPASKA Temukan Bagian Mesin Pesawat,positif
2018-11-02 13:30:25,"Setidaknya mereka sudah tenang.\nTidak ada kekhawatiran lagi, tidak ada ketakutan lagi, tidak ada rasa sakit lagi.",positif
2018-11-02 13:24:07,@RelawanProSandi Punya otak sama hati nurani gk sih banyak orang lagi berkabung mlh demo gk jlas #mikir #PrayForJT610,positif
2018-11-02 13:17:27,"#hiyahiyahiya #golongankami ""Agama kok dibawa ke politik"" & ""Politik kok bawa agama""",positif
2018-11-02 13:12:00,Inilah kearifan lokal yang seharusnya tetap dibudayakan di Indonesia.Jangan hanya karena beda ideologi ,positif
